1,Toy Story

4,Get Shorty

8,Babe

13,Mighty Aphrodite

16,French Twist

17,From Dusk Till Dawn

21,Muppet Treasure Island

25,Birdcage

26,The Brothers McMullen

29,Batman Forever

34,The Doom Generation

40,To Wong Foo Thanks for Everything Julie Newmar

41,Billy Madison

42,Clerks

45,Eat Drink Man Woman

47,Ed Wood

49,I.Q.

63,Santa Clause

65,What's Eating Gilbert Grape

66,While You Were Sleeping

67,Ace Ventura: Pet Detective

69,Forrest Gump

70,Four Weddings and a Funeral

72,Mask

73,Maverick

74,Faster Pussycat! Kill! Kill!

80,Hot Shots! Part Deux

81,The Hudsucker Proxy

83,Much Ado About Nothing

85,Ref

88,Sleepless in Seattle

90,So I Married an Axe Murderer

91,The Nightmare Before Christmas

93,Welcome to the Dollhouse

94,Home Alone

95,Aladdin

104,Theodore Rex

105,Sgt. Bilko

108,Kids in the Hall: Brain Candy

109,Mystery Science Theater 3000: The Movie

110,Operation Dumbo Drop

111,The Truth About Cats & Dogs

116,Cold Comfort Farm

120,Striptease

122,The Cable Guy

123,Frighteners

138,D3: The Mighty Ducks

139,Love Bug

150,Swingers

151,Pure Imagination: The Story of 'Willy Wonka and the Chocolate Factory'

152,Sleeper

153,A Fish Called Wanda

154,Life Of Brian

158,Weekend at Bernie's

163,The Return of the Pink Panther

167,Private Benjamin

168,Monty Python and the Holy Grail

169,The Wrong Trousers

170,Cinema Paradiso

171,Delicatessen

173,The Princess Bride

184,Army of Darkness

186,The Blues Brothers

189,A Grand Day Out

194,Sting

201,Evil Dead II

202,Groundhog Day

204,Back to the Future

208,Young Frankenstein

209,This Is Spinal Tap

211,M*A*S*H

216,When Harry Met Sally...

220,The Mirror Has Two Faces

225,101 Dalmatians

231,Batman Returns

232,Young Guns

235,Mars Attacks!

236,Citizen Ruth

238,Raising Arizona

240,Beavis and Butt-Head Do America

242,Kolya

243,Jungle 2 Jungle

