2,GoldenEye

21,Muppet Treasure Island

24,Rumble in the Bronx

29,Batman Forever

35,Free Willy 2: The Adventure Home

50,Star Wars

62,Stargate

78,Free Willy

82,Jurassic Park

97,Dances with Wolves

101,Heavy Metal

110,Operation Dumbo Drop

112,Flipper

117,The Rock

118,Twister

132,The Wizard of Oz

140,Homeward Bound: The Incredible Journey

141,Halloween H20: 20 Years Later

142,Bedknobs and Broomsticks

148,The Ghost and the Darkness

151,Pure Imagination: The Story of 'Willy Wonka and the Chocolate Factory'

164,Abyss

172,Star Wars: Episode V - The Empire Strikes Back

173,The Princess Bride

174,Raiders of the Lost Ark

181,Return of the Jedi

184,Army of Darkness

201,Evil Dead II

206,Akira

210,Indiana Jones and the Last Crusade

222,Star Trek: First Contact

227,Star Trek VI: The Undiscovered Country

228,Star Trek II: The Wrath of Khan

229,Star Trek III: The Search for Spock

230,Star Trek IV: The Voyage Home

231,Batman Returns

247,Turbo: A Power Rangers Movie

252,The Lost World: Jurassic Park

254,Batman

257,Men in Black

266,Kull the Conqueror

271,Starship Troopers

304,Fly Away Home

331,Edge of Tomorrow

355,Sphere

358,Spawn

373,Judge Dredd

380,Star Trek: Generations

385,True Lies

389,Black Beauty

398,Super Mario Bros.

399,Three Musketeers

403,Batman

405,Mission: Impossible

431,Highlander

449,Star Trek: The Motion Picture

450,Star Trek V: The Final Frontier

457,Free Willy 3: The Rescue

463,The Secret of Roan Inish

465,Jungle Book

472,DragonHeart

491,The Adventures of Robin Hood

495,Around the World in 80 Days

498,African Queen

500,Fly Away Home

511,Lawrence of Arabia

519,The Treasure of the Sierra Madre

520,The Great Escape

526,Ben-Hur

530,The Man Who Would Be King

541,Mortal Kombat

554,Waterworld

560,A Kid in King Arthur's Court

562,The Quick and the Dead

566,Clear and Present Danger

576,Cliffhanger

601,For Whom the Bell Tolls

622,Swiss Family Robinson

636,Escape from New York

655,Stand by Me

679,Conan the Barbarian

680,Kull the Conqueror

720,First Knight

755,Jumanji

768,Casper

769,Congo

802,Hard Target

812,Andre

820,Space Jam

826,Phantom

827,Daylight

828,Alaska

829,Fled

831,Escape from L.A.

862,Jingle All the Way

877,Excess Baggage

890,Mortal Kombat: Annihilation

897,Time Tracers

919,City of Lost Children

924,White Squall

930,Chain Reaction

947,Big Blue

951,The Indian in the Cupboard

982,Maximum Risk

993,Hercules

1013,Anaconda

1016,Con Air

1031,Lassie

1033,Homeward Bound II: Lost in San Francisco

1034,Quest

1058,War

1060,The Adventures of Pinocchio

1076,The Pagemaster

1091,Pete's Dragon

1105,Firestorm

1116,Mark of Zorro

1126,The Old Man and the Sea

1133,Escape to Witch Mountain

1239,Cutthroat Island

1279,Wild America

1293,Star Kid

1314,Surviving the Game

1383,The Second Jungle Book: Mowgli & Baloo

1411,Barbarella

1450,Golden Earrings

1469,Tom and Huck

1480,Herbie Rides Again

1503,Gold Diggers: The Secret of Bear Mountain

1515,Wings of Courage

1523,A Good Man in Africa

1531,Far from Home: The Adventures of Yellow Dog

1540,The Amazing Panda Adventure

1555,The Secret Adventures of Tom Thumb

1608,Buddy

1615,Warriors of Virtue


