4,Get Shorty

5,Copycat

6,Shanghai Triad

7,Twelve Monkeys

8,Babe

9,Dead Man Walking

10,Richard III

14,Il Postino: The Postman

15,Mr. Holland's Opus

18,The White Balloon

19,Antonia's Line

20,Angels and Insects

22,Braveheart

23,Taxi Driver

28,Apollo 13

30,Belle de Jour

31,Crimson Tide

34,The Doom Generation

35,Free Willy 2: The Adventure Home

36,Mad Love

37,Nadja

43,Disclosure

44,Dolores Claiborne

45,Eat Drink Man Woman

46,Exotica

47,Ed Wood

51,Legends of the Fall

52,The Madness of King George

54,Outbreak

55,Léon: The Professional

56,Pulp Fiction

57,Priest

58,Quiz Show

59,Three Colors: Red

60,Three Colors: Blue

61,Three Colors: White

64,The Shawshank Redemption

65,What's Eating Gilbert Grape

74,Faster Pussycat! Kill! Kill!

76,Carlito's Way

77,Firm

78,Free Willy

86,Remains of the Day

87,Searching for Bobby Fischer

93,Welcome to the Dollhouse

97,Dances with Wolves

98,Silence of the Lambs

100,Fargo

106,Diabolique

107,Moll Flanders

113,The Horseman on the Roof

124,Lone Star

125,Phenomenon

126,The Spitfire Grill

127,Godfather

129,Bound

131,Breakfast at Tiffany's

132,The Wizard of Oz

133,Gone with the Wind

134,Citizen Kane

135,2001: A Space Odyssey

136,Mr. Smith Goes to Washington

137,Big Night

146,Unhook the Stars

149,Jude

150,Swingers

157,Platoon

160,Glengarry Glen Ross

162,On Golden Pond

165,Jean de Florette

166,Manon of the Spring

170,Cinema Paradiso

172,Star Wars: Episode V - The Empire Strikes Back

178,12 Angry Men

180,Apocalypse Now

182,Goodfellas

187,The Godfather: Part II

188,Full Metal Jacket

190,Henry V

191,Amadeus

192,Raging Bull

193,The Right Stuff

196,Dead Poets Society

197,The Graduate

199,The Bridge on the River Kwai

205,Patton

207,Cyrano de Bergerac

209,This Is Spinal Tap

212,The Unbearable Lightness of Being

213,Room with a View

214,Pink Floyd The Wall

215,Field of Dreams

221,Breaking the Waves

223,Sling Blade

224,Ridicule

236,Citizen Ruth

237,Jerry Maguire

239,Sneakers

244,Feeling For Snow

245,The Devil's Own

246,Chasing Amy

253,The Pillow Book

258,Contact

262,In the Company of Men

268,Chasing Amy

270,Gattaca

272,Good Will Hunting

275,Sense and Sensibility

276,Leaving Las Vegas

277,Restoration

278,Bed of Roses

279,Once Upon a Time... When We Were Colored

280,Killer Whales: Up Close and Personal

282,Time to Kill

283,Emma

285,Secrets

286,The English Patient

287,Marvin's Room

289,Evita

292,Rosewood

293,Donnie Brasco

296,Promesse

297,Ulee's Gold

299,Hoodlum

303,Ulee's Gold

305,The Ice Storm

306,Mrs. Brown's Boys

308,FairyTale: A True Story

310,The Rainmaker

311,The Wings of the Dove

312,Midnight in the Garden of Good and Evil

313,Titanic

315,Apt Pupil

316,As Good as It Gets

317,In the Name of the Father

318,Schindler's List

325,Crash

326,G.I. Jane

327,Cop Land

329,Desperate Measures

330,187 Shadow Lane

332,Kiss the Girls

337,The House of Yes

339,Mad City

340,Boogie Nights

344,Apostle

345,Deconstructing Harry

346,Jackie Brown

347,Wag the Dog

348,Desperate Measures

356,The Client

357,One Flew Over the Cuckoo's Nest

365,Powder

366,Dangerous Minds

370,Mary Reilly

371,The Bridges of Madison County

375,Showgirls

378,Miracle on 34th Street

382,The Adventures of Priscilla Queen of the Desert

387,Age of Innocence

